trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-107.9927144011646,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-86.16771738172088,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-119.07804648698934,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-51.380667244900636,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-100.78633714398562,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-79.41361811092865,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-81.12316052654776,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-146.5080699869034,"{0: 25, 1: 0, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-116.25961092391458,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-47.58982149139647,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,1,-115.24767859469016,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-98.38026705091724,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,2,7.333318012168055,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-77.08590906014514,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,7,-91.13470243997494,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,12,-8.180040047201459,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,6,-19.624326006851604,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-15.469848754853224,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-127.6336337123582,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,14,-92.05442743505368,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,8,-33.53710139791502,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,4,6.512546671695936,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,13.992350998581502,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,0,-74.85559117016851,"{0: 30, 1: 1, 2: 1, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,4,-95.21146373497258,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",30,0,-18.3608660038689,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,16,-66.10081314756636,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,0,-107.34247316324277,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-39.81663863808762,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,27.522326753800307,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
