trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.26269628970937,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",30,0,-111.97862882345123,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999920000106667}",30,22,-6.546631117164003,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.999982000054}",25,0,-126.87975302340311,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999680001706663}",30,0,-132.55601407392223,"{0: 17, 1: 8, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,6,-75.31589942429386,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,0,-155.1118054790902,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9999020016006562}",30,0,-198.0960330419808,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-97.28545210948562,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9998380043739528}",30,0,-129.27001938687098,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-156.13693720798517,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9997580097605092}",30,0,-214.44016002885866,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-88.07403594554887,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9996620190402377}",20,0,-116.29124346239729,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9996080256099974}",25,0,-90.6043607346583,"{0: 13, 1: 8, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9995500337489875}",30,0,-235.28635349895933,"{0: 13, 1: 6, 2: 6, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9994880436891754}",35,0,-283.552664551712,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 6}",0
18,False,"{'a': 0.5, 'e': 0.9994220556785212}",20,0,-198.73035915100598,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.9993520699809768}",20,0,-107.13613872255131,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9992780868764849}",25,0,-179.16227144543225,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9992001066609779}",25,0,-70.12315473314082,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9991181296463766}",25,0,-217.42810713569142,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
23,False,"{'a': 0.5, 'e': 0.9990321561605888}",20,4,-135.49737551033175,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 3}",1
24,False,"{'a': 0.5, 'e': 0.9989421865475084}",30,0,-338.1692883205675,"{0: 12, 1: 2, 2: 8, 3: 3, 4: 5}",0
25,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-131.19042075260592,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-85.55615272702337,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9986483046232089}",30,0,-201.08162503006912,"{0: 18, 1: 5, 2: 3, 3: 0, 4: 4}",0
28,False,"{'a': 0.5, 'e': 0.9985423542595644}",25,0,-141.72796576366005,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
