trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-84.35041929335127,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-50.9733788820454,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-69.64696076366192,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-91.11908375706413,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-109.96458184910709,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-183.45172538393865,"{0: 11, 1: 1, 2: 11, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-104.55392967982739,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-251.32055900559362,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-89.5563169009174,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,2,-102.98925534911069,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-271.40322762130154,"{0: 8, 1: 1, 2: 10, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-114.86683091452728,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",30,0,-134.64366660336353,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-117.11090718028368,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",30,0,-176.6117369668073,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-72.17571757457026,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-89.90450297128102,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-47.13394903817333,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-108.0718519378036,"{0: 11, 1: 2, 2: 3, 3: 4, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-138.04231602083402,"{0: 20, 1: 5, 2: 7, 3: 3, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-142.62191682366452,"{0: 17, 1: 8, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",35,0,-191.34639199611766,"{0: 19, 1: 2, 2: 10, 3: 3, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-141.4306887159816,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-77.3624792926979,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-191.49047884182139,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-149.29133398733862,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-130.75683950863254,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-75.6217715122939,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",35,0,-145.1367765453719,"{0: 22, 1: 3, 2: 7, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-101.32615970626075,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
